match_id,rally_id,stroke_num,player_hitting,player1_pos,player2_pos,player1_x,player1_y,player2_x,player2_y,dist_players,dist_player1_net,dist_player2_net,disp_p1_center_dx,disp_p1_center_dy,disp_p2_center_dx,disp_p2_center_dy,dist_p1_center,dist_p2_center,vel_p1_dx,vel_p1_dy,vel_p2_dx,vel_p2_dy,shuttle_hit_from,shuttle_hit_to,stroke_type,prev_stroke_type,player1_pos_mask,player2_pos_mask,shuttle_hit_from_mask,shuttle_hit_to_mask,player1_x_mask,player1_y_mask,player2_x_mask,player2_y_mask,dist_players_mask,dist_player1_net_mask,dist_player2_net_mask,disp_p1_center_dx_mask,disp_p1_center_dy_mask,disp_p2_center_dx_mask,disp_p2_center_dy_mask,dist_p1_center_mask,dist_p2_center_mask,vel_p1_dx_mask,vel_p1_dy_mask,vel_p2_dx_mask,vel_p2_dy_mask,prev_stroke_type_mask
2,Point44,30,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,Unknown,Clear,Net-Lift,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,31,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Drive,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,32,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Block,Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,33,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Shot,Block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,34,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Lift,Net-Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,35,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Smash,Net-Lift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,36,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Block-Bh,Smash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,37,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Shot-Bh,Block-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point44,38,2,Right-Front,Unknown,0.701,4.538,0.0,0.0,0.0,2.162,0.0,-1.889,-1.188,0.0,0.0,2.232,0.0,0.0,0.0,0.0,0.0,Unknown,Left-Middle,Net-Shot-Bh,Net-Shot-Bh,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
2,Point44,39,1,Left-Middle,Unknown,4.599,3.919,0.0,0.0,0.0,2.781,0.0,-2.009,0.569,0.0,0.0,2.088,0.0,-3.248,-0.516,0.0,0.0,Unknown,Unknown,Net-Lift,Net-Shot-Bh,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
2,Point45,1,1,Center-Front,Right-Back,2.851,5.214,1.561,11.286,6.208,1.486,4.586,-0.261,1.864,1.029,1.236,1.882,1.608,-0.0,0.0,-0.0,0.0,Unknown,Left-Back,Serve,None,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point45,2,2,Center-Front,Left-Back,2.825,5.347,1.482,11.301,6.104,1.353,4.601,0.235,-1.997,-1.108,-1.251,2.011,1.671,-0.02,-0.101,-0.06,0.011,Center-Front,Center-Front,Net-Lift-Bh,Serve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point45,3,1,Center-Front,Right-Back,2.85,5.426,1.502,11.303,6.03,1.274,4.603,-0.26,2.076,1.088,1.253,2.092,1.659,-0.019,0.06,-0.015,0.002,Left-Back,Left-Back,Smash,Net-Lift-Bh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point45,4,2,Center-Front,Left-Back,2.826,5.296,1.562,11.303,6.139,1.404,4.603,0.236,-1.946,-1.028,-1.253,1.96,1.621,-0.024,0.131,0.061,-0.0,Center-Front,Unknown,FAULT,Smash,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point46,1,1,Right,Unknown,1.083,11.578,0.0,0.0,0.0,4.878,0.0,1.507,8.228,0.0,0.0,8.365,0.0,-0.0,0.0,-0.0,0.0,Left-Back,Unknown,Serve,None,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1
2,Point46,2,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,Unknown,Net-Shot-Bh,Serve,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point46,3,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,FAULT,Net-Shot-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point47,1,2,Center-Front,Right-Back,2.446,5.118,4.042,11.296,6.381,1.582,4.596,-0.144,-1.768,1.452,-1.246,1.774,1.913,0.0,-0.0,0.0,0.0,Unknown,Center-Front,Serve,None,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point47,2,1,Center-Front,Left-Back,2.344,5.082,3.925,11.27,6.387,1.618,4.57,0.246,1.732,-1.335,1.22,1.749,1.808,0.077,-0.027,0.089,-0.019,Right-Back,Right-Back,Net-Shot,Serve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point47,3,2,Center-Front,Right-Back,2.419,4.919,3.923,11.304,6.56,1.781,4.604,-0.171,-1.569,1.333,-1.254,1.578,1.83,0.068,0.147,-0.002,0.031,Center-Front,Center-Front,Net-Lift-Bh,Net-Shot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Point47,4,1,Center-Front,Left-Back,2.421,5.16,3.943,11.311,6.337,1.54,4.611,0.169,1.81,-1.353,1.261,1.818,1.85,-0.001,0.157,-0.013,0.005,Right-Back,Right-Back,Dropshot,Net-Lift-Bh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
